Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1633539600000,54912.03,54940.00,54555.00,54628.64,8276.257,452773390.81287,109125,3941.364,215630857.75697
1633543200000,54628.64,55147.19,54536.01,54590.00,11068.219,607298334.37310,144117,5524.121,303156298.79944
1633546800000,54590.00,55115.00,54572.49,55078.56,8745.032,479960150.22763,115072,4402.863,241659411.53851
1633550400000,55078.55,55426.98,54840.00,54957.69,13808.839,761629911.25518,163635,6628.722,365730001.45758
1633554000000,54957.69,55278.00,54913.20,55087.09,5867.484,323360586.82655,82742,3059.880,168610972.43836
1633557600000,55087.04,55304.97,54910.03,55166.79,6394.337,352289384.36187,92622,3037.412,167359990.35650
1633561200000,55166.79,55817.00,55143.99,55321.60,17529.007,971724604.03041,189151,9502.195,526825549.00826
1633564800000,55327.45,55337.80,54552.98,54845.91,18059.448,992118591.36045,195188,8695.872,477770411.57992
1633568400000,54845.90,54950.00,54145.42,54823.00,15993.170,872213572.79035,179397,7675.360,418690361.05524
1633572000000,54822.99,55268.30,54725.00,55110.76,8902.024,489856956.90526,127544,4579.403,252047017.93498
1633575600000,55110.76,55259.00,54764.64,54853.63,7526.104,413769132.93127,103922,3640.556,200173243.18453
1633579200000,54853.63,55280.00,54800.00,55100.24,5834.361,321444271.76418,86420,2946.558,162348435.27578
1633582800000,55100.25,55100.25,54611.00,54781.16,8524.468,466871086.41298,111439,4366.153,239130349.27632
1633586400000,54781.17,55015.14,54446.80,54587.31,7175.446,392420428.93310,101776,3491.502,190993560.39285
1633590000000,54587.30,54846.69,54325.00,54808.39,10433.781,569671006.81589,141961,5288.784,288820233.43438
1633593600000,54807.63,54826.87,54455.67,54597.62,6123.343,334403161.99662,93823,3043.130,166189254.70643
1633597200000,54597.61,54612.19,53861.03,54386.37,21961.646,1190754575.27730,245321,10751.279,583033707.70728
1633600800000,54386.36,54499.00,53888.00,53989.01,10370.888,561526159.07469,140002,5257.853,284736745.46772
1633604400000,53989.01,54420.00,53955.00,54356.00,9557.508,517944000.38234,115289,5034.935,272886736.51322
1633608000000,54354.98,54415.00,53666.00,54035.11,17739.917,958494598.25376,184588,8029.729,433902358.94341
1633611600000,54035.09,54752.23,53832.00,54594.28,15784.518,857721724.27844,179572,8429.311,458043654.20443
1633615200000,54594.27,54720.89,53374.34,53841.96,26607.557,1437096589.43311,275568,12795.723,691086011.69448
1633618800000,53840.31,54260.00,53700.00,53959.27,11107.294,599705721.08931,136380,5420.094,292670178.98392
1633622400000,53959.28,54369.18,53455.30,54189.49,15540.031,837736515.02979,171571,7857.036,423704532.34884
1633626000000,54189.48,54369.30,54068.89,54212.44,7030.688,381272212.53940,97251,3375.880,183089161.44392
1633629600000,54212.45,54279.09,53875.75,53954.51,5335.579,288437796.86150,82922,2593.729,140223276.87344
1633633200000,53954.51,54224.46,53916.90,54019.50,4388.432,237370967.91290,71014,2324.614,125752948.30146
1633636800000,54019.50,54399.70,53948.00,54219.99,5144.108,278763151.24163,77093,2729.509,147924771.94130
1633640400000,54220.00,54570.00,54102.82,54318.68,7218.973,392603642.03447,93130,3691.242,200800133.57151
1633644000000,54318.69,54659.38,53812.91,53946.80,10569.842,571866448.09878,133163,5145.348,278395588.79817
1633647600000,53942.18,54011.82,53650.00,53814.99,6045.419,325381287.85868,84156,2822.807,151958565.36716
1633651200000,53814.99,54257.48,53751.92,54153.12,5880.215,317769649.99704,83481,3005.272,162404240.22690
1633654800000,54152.76,54432.68,54084.10,54333.67,5220.899,283333987.58957,79616,2529.531,137289934.60049
1633658400000,54333.68,54450.00,53825.48,53891.24,8175.714,441884686.61555,105000,3741.898,202233852.84642
1633662000000,53891.73,53982.49,53740.70,53858.46,5112.715,275302291.80737,83498,2647.374,142573923.27768
1633665600000,53858.47,54019.26,53802.97,53924.85,3667.796,197759274.88582,65996,1833.914,98887458.16843
1633669200000,53924.85,54226.10,53647.30,54208.84,7540.214,406749290.88437,97691,3886.645,209744431.23854
1633672800000,54208.84,54318.46,54029.49,54162.32,6040.629,327235850.46485,90438,2766.406,149883583.55034
1633676400000,54162.32,55046.88,54051.01,54851.88,18314.015,1000355794.75583,194625,9628.901,525994508.63123
1633680000000,54851.89,56208.73,54785.00,55834.80,32291.837,1792622136.52762,347850,16458.138,913799239.57921
1633683600000,55834.80,55930.00,55111.00,55275.00,21868.454,1213772480.04636,215874,9811.233,544612100.04675
1633687200000,55276.37,55628.00,55222.22,55525.05,7855.117,435472234.06155,105017,4066.321,225419062.15087
1633690800000,55525.04,55648.29,55170.23,55300.99,8845.851,490503316.28285,113914,3904.689,216503502.97999
1633694400000,55301.00,55359.00,54525.00,54896.43,20476.751,1124780738.08778,218669,9828.108,539920261.83001
1633698000000,54896.44,54983.94,54000.00,54207.97,20433.488,1113808484.18100,202776,9333.614,509123538.97538
1633701600000,54207.97,54720.00,54159.83,54591.82,12200.313,664678632.87994,148127,6359.055,346472238.68097
1633705200000,54591.82,54790.01,54050.00,54349.03,13474.302,732577645.31340,147647,6523.277,354712437.22094
